Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
PMAM3 - 2022,2720510000.0,-105570000.0,169690000.0,-22.13,812730000.0,3046590000.0,-216540000.0,-562340000.0,-42.7,552020000.0,3111050000.0,-133360000.0,-317010000.0,-19.55,474510000.0,0
GGBR3 - 2022,5176810000.0,5013530000.0,2940390000.0,6.91,20330490000.0,4690040000.0,5790640000.0,4298500000.0,9.05,22968440000.0,5100265000.0,4462520000.0,3022250000.0,6.12,21149230000.0,1
PDTC3 - 2022,35390000.0,-220000.0,-4480000.0,-3.62,72760000.0,50320000.0,1040000.0,-3790000.0,-3.17,84890000.0,70858000.0,14120000.0,12220000.0,9.36,103100000.0,0
AALR3 - 2022,679930000.0,9930000.0,-14520000.0,-1.43,275160000.0,568610000.0,18150000.0,-10110000.0,-1.09,266520000.0,669810000.0,-13060000.0,-72000000.0,-7.0,280000000.0,0
HAGA4 - 2022,-9900000.0,-920000.0,-710000.0,-1.13,6440000.0,-9872000.0,-720000.0,-480000.0,-0.76,6740000.0,-10909000.0,-37000.0,338000.0,-0.54,8207000.0,0
RAPT3 - 2022,2943840000.0,340490000.0,170330000.0,4.96,2476350000.0,2854080000.0,300850000.0,158230000.0,3.86,2772320000.0,2753810000.0,357410000.0,208180000.0,5.33,3055830000.0,0
EQPA3 - 2022,2463130000.0,471980000.0,314800000.0,8.56,1870700000.0,2529150000.0,585730000.0,385250000.0,9.68,2141800000.0,2300167000.0,414040000.0,368120000.0,8.46,2060670000.0,1
IGTI3 - 2022,1494200000.0,106130000.0,-16360000.0,-0.51,225740000.0,1751840000.0,124240000.0,-131800000.0,-4.11,250590000.0,1181690000.0,120750000.0,66150000.0,1.62,251280000.0,0
UCAS3 - 2022,-46720000.0,12970000.0,10170000.0,5.72,58730000.0,-30960000.0,4610000.0,10460000.0,5.55,58140000.0,-23650000.0,7050000.0,7360000.0,3.75,65840000.0,0
TPIS3 - 2022,1635455000.0,5510000.0,-33680000.0,-3.75,183650000.0,1677858000.0,286690000.0,109870000.0,11.28,500660000.0,1624688000.0,-49620000.0,-56790000.0,-6.12,198560000.0,0
