Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
MRFG3 - 2023,43981159000.0,-266100000.0,-1568280000.0,-13.42,31757480000.0,43535895000.0,-87875000.0,-1820730000.0,-19.35,32513916000.0,32153080000.0,695647000.0,-379728000.0,-1.82,34695055000.0,1
EQTL3 - 2023,32788578000.0,1873690000.0,287879000.0,0.92,10176570000.0,33580557000.0,1801776000.0,670650000.0,2.78,9201477000.0,35887374000.0,2201374000.0,927685000.0,3.68,10361518000.0,1
CSNA3 - 2023,27143838000.0,580520000.0,-822548000.0,-4.82,11318690000.0,28489685000.0,1140964000.0,283298000.0,0.99,10989111000.0,27127002000.0,1647518000.0,90794000.0,-0.87,11125028000.0,1
YDUQ3 - 2023,4190685000.0,309259000.0,149490000.0,4.8,1313329000.0,4266526000.0,213011000.0,32049000.0,1.02,1307960000.0,4162986000.0,258404000.0,93370000.0,2.86,1296587000.0,1
QUAL3 - 2023,1465410000.0,90871000.0,19097000.0,1.22,457348000.0,1367338000.0,79900000.0,15500000.0,0.99,435000000.0,1298530000.0,-25628000.0,-52739000.0,0.71,443168000.0,0
JBSS3 - 2023,83342561000.0,-594784000.0,-1429501000.0,-3.25,86683729000.0,80250283000.0,1539791000.0,-198167000.0,-0.62,89382631000.0,80388616000.0,2630173000.0,690606000.0,1.36,91409464000.0,1
DXCO3 - 2023,4062724000.0,379320000.0,154329000.0,2.49,1712018000.0,4322828000.0,365719000.0,157383000.0,2.61,1953755000.0,4459232000.0,285381000.0,304125000.0,4.64,1768953000.0,1
NTCO3 - 2023,9442970000.0,27436000.0,-652154000.0,-2.96,7320156000.0,9933313000.0,-132117000.0,-731908000.0,-3.56,7773542000.0,-562448000.0,-48649000.0,7023992000.0,25.06,7517260000.0,1
CEAB3 - 2023,766613000.0,-93195000.0,-126300000.0,-4.4,1240600000.0,745406000.0,101931000.0,4224000.0,0.15,1642961000.0,603526000.0,28186000.0,-44222000.0,-1.56,1542676000.0,1
EMBR3 - 2023,6643973000.0,-270680000.0,-378400000.0,-2.88,3726000000.0,6556296000.0,350180000.0,-132403000.0,-0.79,6359821000.0,6420939000.0,420316000.0,321501000.0,2.39,6295990000.0,1
VIVA3 - 2023,-69645000.0,48234000.0,38571000.0,2.28,391627000.0,13461000.0,126235000.0,109984000.0,6.1,559909000.0,67547000.0,87218000.0,76538000.0,4.08,457310000.0,1
CYRE3 - 2023,1876401000.0,177450000.0,191060000.0,2.26,1283430000.0,1958542000.0,318666000.0,308025000.0,3.72,1633055000.0,2273987000.0,317565000.0,304638000.0,3.23,1625987000.0,1
GUAR3 - 2023,1717949000.0,-68270000.0,-175667000.0,-3.46,1827099000.0,1706150000.0,83288000.0,-17616000.0,-0.35,2138896000.0,1717378000.0,23629000.0,-70742000.0,-1.42,2099471000.0,1
ARZZ3 - 2023,277025000.0,104824000.0,63385000.0,2.32,1025291000.0,345987000.0,125468000.0,100462000.0,3.62,1131023000.0,448935000.0,175205000.0,113658000.0,3.94,1265823000.0,1
TOTS3 - 2023,-840917000.0,188913000.0,99547000.0,2.19,1064142000.0,-974137000.0,168858000.0,103897000.0,2.17,1087915000.0,-1347830000.0,206470000.0,434777000.0,9.08,1153397000.0,1
EGIE3 - 2023,14627252000.0,1836760000.0,882222000.0,9.54,2913748000.0,13291373000.0,1478223000.0,732645000.0,8.78,2609533000.0,14770402000.0,1475128000.0,866640000.0,10.28,2513512000.0,1
ALPA4 - 2023,901106000.0,-288064000.0,-199691000.0,-3.62,902486000.0,936861000.0,-65086000.0,-53095000.0,-1.0,926359000.0,828537000.0,-15545000.0,-8482000.0,-0.15,896150000.0,1
TEND3 - 2023,757530000.0,21214000.0,-43685000.0,-6.22,651443000.0,628028000.0,14278000.0,-11868000.0,-1.53,710452000.0,515875000.0,13995000.0,-25362000.0,-2.65,786312000.0,1
UGPA3 - 2023,8763953000.0,677800000.0,273800000.0,2.2,30551800000.0,8507490000.0,514602000.0,238691000.0,1.77,29592540000.0,7663509000.0,1578137000.0,891243000.0,6.81,32483536000.0,1
CPFE3 - 2023,7795905000.0,2990780000.0,1650675000.0,8.93,9839240000.0,19397499000.0,2497917000.0,1246952000.0,6.67,9388917000.0,19425923000.0,2577066000.0,1312693000.0,6.86,9974971000.0,1
SLCE3 - 2023,2701680000.0,973276000.0,574975000.0,10.33,3074186000.0,3764356000.0,644004000.0,348719000.0,6.31,2130192000.0,3419120000.0,414965000.0,167272000.0,3.17,2100685000.0,1
VIVT3 - 2023,13802162000.0,1675885000.0,834588000.0,1.21,12720910000.0,12862683000.0,1872454000.0,1120985000.0,1.64,12732709000.0,13198917000.0,2118012000.0,1476608000.0,2.12,13111806000.0,1
FLRY3 - 2023,2410000000.0,214520000.0,93820000.0,3.37,1240000000.0,3310000000.0,197760000.0,74040000.0,1.46,1660000000.0,3100000000.0,317980000.0,171820000.0,3.36,1870000000.0,1
MOVI3 - 2023,11350953000.0,485309000.0,21045000.0,0.74,2703206000.0,11394746000.0,501037000.0,-17864000.0,-0.58,2479144000.0,11665729000.0,455161000.0,-65720000.0,-2.17,2666220000.0,1
ODPV3 - 2023,-248360000.0,176820000.0,139668000.0,11.44,521558000.0,-312000000.0,168996000.0,122980000.0,9.02,535214000.0,-348442000.0,146756000.0,134321000.0,9.14,551960000.0,1
PDGR3 - 2023,2644061000.0,-48280000.0,-208970000.0,-4.18,6052000.0,1297462000.0,10042000.0,-131773000.0,-2.51,35567000.0,1371579000.0,-29523000.0,-228294000.0,-4.19,48886000.0,0
NGRD3 - 2023,-176889000.0,-92000.0,3059000.0,0.76,69877000.0,-161267000.0,-7615000.0,-3517000.0,-0.68,65685000.0,-167569000.0,-3855000.0,-2177000.0,-0.38,65501000.0,1
SBSP3 - 2023,15810160000.0,1392470000.0,747210000.0,2.66,5698370000.0,16448838000.0,1070881000.0,743743000.0,2.59,6154537000.0,16027621000.0,1708645000.0,846295000.0,2.86,6453246000.0,1
EZTC3 - 2023,-180365000.0,29190000.0,46030000.0,0.94,250780000.0,-98261000.0,58201000.0,75512000.0,1.65,242732000.0,18513000.0,31186000.0,38475000.0,0.85,251727000.0,1
JHSF3 - 2023,2196867000.0,190400000.0,86861000.0,1.75,354834000.0,2389505000.0,165220000.0,108608000.0,2.24,394414000.0,2561129000.0,183531000.0,79356000.0,1.57,350086000.0,1
AZEV4 - 2023,-3243000.0,-11657000.0,-20089000.0,-26.12,154822000.0,42218000.0,31054000.0,42312000.0,35.49,147916000.0,41206000.0,-35109000.0,-35130000.0,-25.09,68298000.0,1
ENJU3 - 2023,-301244000.0,-15177000.0,-9028000.0,-2.4,35867000.0,-294388000.0,-10895000.0,-4866000.0,-1.3,40083000.0,-273005000.0,-28736000.0,-23051000.0,-6.51,54889000.0,1
CASH3 - 2023,-626385000.0,-32964000.0,-11869000.0,-1.36,98677000.0,-394670000.0,-16407000.0,-15532000.0,-1.73,72152000.0,-417887000.0,-3624000.0,5163000.0,0.9,70420000.0,1
DIRR3 - 2023,340907000.0,102898000.0,72265000.0,4.35,557269000.0,358715000.0,129488000.0,114772000.0,7.17,605408000.0,-24298000.0,109150000.0,85875000.0,3.55,557668000.0,1
MYPK3 - 2023,4337638000.0,165760000.0,402000.0,-0.42,3998153000.0,3737960000.0,245625000.0,82105000.0,1.57,3801203000.0,3812765000.0,197906000.0,6434000.0,-0.12,3672363000.0,1
FESA4 - 2023,-686839000.0,141850000.0,131560000.0,4.15,716370000.0,-714573000.0,97980000.0,121775000.0,3.78,626128000.0,-687025000.0,47484000.0,74527000.0,2.29,550921000.0,0
SRNA3 - 2023,7533311000.0,120412000.0,-84014000.0,-1.66,583331000.0,8313690000.0,118248000.0,-101364000.0,-2.04,609411000.0,8668083000.0,327641000.0,102520000.0,2.03,865847000.0,1
ELET6 - 2023,35434800000.0,3986877000.0,405963000.0,0.44,9209833000.0,37175921000.0,5697633000.0,1618904000.0,1.51,9245530000.0,39159707000.0,3890393000.0,1476587000.0,1.31,8781430000.0,1
BLAU3 - 2023,-304135000.0,51278000.0,51526000.0,2.83,258201000.0,-147983000.0,86246000.0,70110000.0,3.78,364309000.0,130608000.0,-89230000.0,98918000.0,5.03,362648000.0,1
IRBR3 - 2023,-4230691000.0,-115040000.0,8550000.0,0.21,1661700000.0,-3957609000.0,-113871000.0,20085000.0,0.49,1478646000.0,-4704197000.0,-114005000.0,47744000.0,1.15,1457589000.0,1
ENAT3 - 2023,-12508000.0,175887000.0,118444000.0,2.84,445692000.0,119767000.0,91215000.0,41106000.0,1.01,420104000.0,635434000.0,-304372000.0,-272488000.0,-7.03,96044000.0,0
PSSA3 - 2023,-10723218000.0,422088000.0,355476000.0,3.15,7610291000.0,-11317337000.0,610845000.0,693354000.0,5.9,7878984000.0,-11459454000.0,875399000.0,570281000.0,4.71,8306273000.0,1
AERI3 - 2023,989587000.0,80200000.0,-22206000.0,-2.57,831622000.0,938618000.0,74579000.0,-19097000.0,-2.26,854602000.0,1023531000.0,62160000.0,-28694000.0,-3.52,885832000.0,1
GFSA3 - 2023,1484529000.0,-40860000.0,-34020000.0,-1.91,292510000.0,1627856000.0,-44566000.0,-90963000.0,-5.12,284232000.0,1692863000.0,-82555000.0,-88735000.0,-5.25,286410000.0,1
SBFG3 - 2023,1365802000.0,106932000.0,1512000.0,0.08,1472122000.0,2652167000.0,48971000.0,-32581000.0,-1.46,1593145000.0,2961125000.0,168585000.0,72700000.0,3.01,1793263000.0,1
CMIG3 - 2023,7322212000.0,1859305000.0,1398206000.0,6.13,8646937000.0,8105244000.0,1575671000.0,1245382000.0,5.27,8819517000.0,7937842000.0,1694496000.0,1237307000.0,5.06,9426629000.0,0
SMTO3 - 2023,6587373000.0,318227000.0,151877000.0,2.57,1814218000.0,6685428000.0,380490000.0,220268000.0,3.62,1342587000.0,7527077000.0,857844000.0,418094000.0,6.78,1534989000.0,0
POSI3 - 2023,921600000.0,72300000.0,8500000.0,0.54,702900000.0,884854000.0,83795000.0,21332000.0,1.46,754507000.0,876110000.0,108327000.0,28855000.0,1.87,849022000.0,1
GRND3 - 2023,-1620182000.0,77640000.0,123120000.0,3.63,520110000.0,-662976000.0,11000.0,57246000.0,1.7,463619000.0,-699151000.0,91556000.0,134276000.0,3.85,689103000.0,1
EVEN3 - 2023,-109080000.0,66946000.0,75254000.0,2.79,624590000.0,-7764000.0,62918000.0,75872000.0,2.77,758732000.0,182097000.0,42419000.0,60254000.0,2.48,651805000.0,1
SAPR4 - 2023,3966158000.0,547610000.0,319570000.0,3.51,1453960000.0,4460285000.0,545510000.0,422108000.0,4.64,1536029000.0,4401204000.0,656082000.0,396860000.0,4.18,1605776000.0,1
MILS3 - 2023,436521000.0,109020000.0,66380000.0,5.16,324700000.0,522256000.0,108691000.0,64101000.0,4.79,338019000.0,475344000.0,118309000.0,66714000.0,4.79,347785000.0,1
RCSL3 - 2023,-1143000.0,-230000.0,-280000.0,-27.47,18820000.0,-266000.0,130000.0,-745000.0,-168.59,15530000.0,-49000.0,-998000.0,-2037000.0,-1742.24,10148000.0,1
MTRE3 - 2023,322565000.0,20581000.0,18680000.0,1.91,190651000.0,402960000.0,43097000.0,55927000.0,5.45,180476000.0,522051000.0,14945000.0,2712000.0,0.19,276552000.0,1
BMOB3 - 2023,-574734000.0,24840000.0,17098000.0,1.6,315997000.0,-543828000.0,20241000.0,13951000.0,1.31,318858000.0,-535343000.0,26558000.0,14543000.0,1.38,326064000.0,1
ARML3 - 2023,1335853000.0,93645000.0,26222000.0,2.3,291491000.0,1374848000.0,111516000.0,43435000.0,3.7,310938000.0,1416423000.0,126840000.0,47874000.0,3.95,359539000.0,1
LEVE3 - 2023,23203000.0,234800000.0,185946000.0,10.79,1022151000.0,187871000.0,228415000.0,192914000.0,13.54,1120797000.0,-19498000.0,221133000.0,214831000.0,13.71,1179376000.0,1
MDIA3 - 2023,1525852000.0,136900000.0,69933000.0,1.03,2437403000.0,1155921000.0,287184000.0,217892000.0,3.11,2849431000.0,317490000.0,349840000.0,258996000.0,3.55,2734901000.0,1
PGMN3 - 2023,1375729000.0,37044000.0,-62937000.0,-2.76,2620371000.0,1376225000.0,118817000.0,-37295000.0,-1.65,2836705000.0,1210243000.0,118550000.0,-23799000.0,-0.93,2879489000.0,1
TUPY3 - 2023,2235668000.0,217262000.0,145276000.0,4.57,2804406000.0,2230984000.0,179414000.0,61870000.0,1.93,2965864000.0,2247064000.0,261857000.0,150079000.0,4.55,2975942000.0,1
ZAMP3 - 2023,641507000.0,-2760000.0,-55170000.0,-3.86,885210000.0,734868000.0,5645000.0,-63497000.0,-4.64,934685000.0,758896000.0,10551000.0,-38473000.0,-2.89,948016000.0,0
MDNE3 - 2023,-117408000.0,34420000.0,30420000.0,2.53,253100000.0,-72957000.0,53970000.0,45225000.0,3.61,313329000.0,-21218000.0,47112000.0,46230000.0,3.53,301901000.0,1
DASA3 - 2023,9650607000.0,438746000.0,-167750000.0,-2.45,3534000000.0,8294878000.0,215371000.0,-284057000.0,-3.47,3630941000.0,8963584000.0,330950000.0,-182823000.0,-2.27,3769013000.0,0
VULC3 - 2023,99694000.0,93225000.0,83630000.0,4.66,571118000.0,100807000.0,144903000.0,138951000.0,7.34,723920000.0,10558000.0,151936000.0,127597000.0,6.43,731352000.0,1
TRIS3 - 2023,660346000.0,38980000.0,31022000.0,2.15,243210000.0,714333000.0,36571000.0,29450000.0,2.2,267079000.0,761949000.0,32238000.0,24046000.0,1.72,253179000.0,1
JSLG3 - 2023,4333911000.0,209536000.0,26784000.0,1.86,1563578000.0,4980649000.0,505860000.0,205247000.0,12.47,1839575000.0,5092049000.0,278760000.0,46858000.0,2.78,2010125000.0,1
BIOM3 - 2023,99015000.0,-15390000.0,-17930000.0,-14.86,34280000.0,109726000.0,-18509000.0,-20222000.0,-16.72,30774000.0,109654000.0,-19895000.0,-21931000.0,-22.15,33133000.0,1
MATD3 - 2023,905365000.0,106200000.0,32582000.0,1.82,524059000.0,953332000.0,122133000.0,44944000.0,2.73,554155000.0,923886000.0,108758000.0,35231000.0,1.54,568227000.0,1
PORT3 - 2023,2398791000.0,148287000.0,85288000.0,3.67,570239000.0,2462925000.0,167635000.0,111277000.0,4.83,593535000.0,2457409000.0,180570000.0,94840000.0,4.09,618585000.0,1
SHUL4 - 2023,109537000.0,91940000.0,75950000.0,6.61,490970000.0,51469000.0,71698000.0,62422000.0,5.22,485964000.0,-20871000.0,77954000.0,76329000.0,6.09,496888000.0,0
PTBL3 - 2023,735200000.0,19800000.0,-15000000.0,-3.27,487800000.0,855765000.0,29002000.0,-38297000.0,-10.24,548825000.0,866892000.0,58052000.0,3968000.0,1.04,598023000.0,1
TAEE4 - 2023,8312991000.0,729623000.0,386772000.0,9.58,692915000.0,8102490000.0,470720000.0,220326000.0,3.3,678504000.0,8381729000.0,420281000.0,278942000.0,4.19,686465000.0,1
LUPA3 - 2023,139887000.0,-5425000.0,-10080000.0,-5.78,21392000.0,147559000.0,-10389000.0,-14511000.0,-9.25,19672000.0,143663000.0,-9347000.0,-21237000.0,-13.34,25193000.0,0
WIZC3 - 2023,111953000.0,85851000.0,34620000.0,3.56,260205000.0,43057000.0,98059000.0,43188000.0,6.01,251711000.0,102462000.0,131697000.0,73252000.0,9.69,287621000.0,1
SYNE3 - 2023,678415000.0,37040000.0,-12320000.0,-0.98,99250000.0,690674000.0,38087000.0,-1618000.0,-0.27,103973000.0,677582000.0,47971000.0,8438000.0,0.24,105909000.0,1
POMO3 - 2023,956419000.0,258134000.0,236276000.0,7.66,1653970000.0,1069223000.0,122019000.0,140456000.0,4.28,1364476000.0,1033071000.0,176691000.0,161688000.0,4.74,1614827000.0,1
SOJA3 - 2023,48517000.0,-35800000.0,-13580000.0,-2.38,115810000.0,345630000.0,37293000.0,27834000.0,3.39,134428000.0,-92856000.0,127224000.0,115637000.0,10.96,987423000.0,1
MBLY3 - 2023,-26973000.0,-18280000.0,-22540000.0,-4.24,146740000.0,10490000.0,-21388000.0,-17147000.0,-3.33,128154000.0,42394000.0,-23980000.0,-24292000.0,-4.94,123813000.0,0
VLID3 - 2023,549871000.0,101521000.0,59639000.0,4.65,529279000.0,456756000.0,103315000.0,55195000.0,4.45,534356000.0,281098000.0,112086000.0,61001000.0,4.47,558409000.0,1
LIGT3 - 2023,8736407000.0,478506000.0,107145000.0,3.63,3613758000.0,8555556000.0,286754000.0,109387000.0,3.57,3346612000.0,8817081000.0,308313000.0,-10923000.0,-0.36,3495317000.0,1
SEER3 - 2023,1033644000.0,36657000.0,-28352000.0,-2.34,424547000.0,518383000.0,84603000.0,31383000.0,2.53,506049000.0,522978000.0,24572000.0,-36767000.0,-3.05,418291000.0,1
ESPA3 - 2023,46271000.0,47334000.0,5999000.0,0.78,267434000.0,713394000.0,27338000.0,-11044000.0,-1.12,236232000.0,690212000.0,35327000.0,-1469000.0,-0.14,234290000.0,1
MEAL3 - 2023,317627000.0,-11611000.0,-57260000.0,-5.39,529977000.0,353068000.0,32675000.0,35068000.0,3.25,605836000.0,317034000.0,63823000.0,16402000.0,1.47,626034000.0,1
HBOR3 - 2023,1551854000.0,42870000.0,27840000.0,0.48,270250000.0,1642647000.0,44989000.0,32517000.0,0.51,334239000.0,1669787000.0,59479000.0,44985000.0,0.61,324618000.0,1
OIBR4 - 2023,20956798000.0,-102677000.0,-1267087000.0,-5.47,2535792000.0,21232781000.0,-266082000.0,-844524000.0,-3.53,2454171000.0,22719925000.0,-803758000.0,-2830492000.0,-10.55,2421776000.0,0
UNIP6 - 2023,19655000.0,433311000.0,252961000.0,9.84,1567754000.0,-33486000.0,311319000.0,186336000.0,7.11,1319629000.0,-263422000.0,214837000.0,190793000.0,6.76,1366291000.0,1
TECN3 - 2023,12748000.0,3702000.0,3009000.0,0.86,63520000.0,-2291000.0,16814000.0,15095000.0,4.11,87355000.0,-17741000.0,15139000.0,12985000.0,3.42,80405000.0,1
RSID3 - 2023,605895000.0,-24350000.0,-50010000.0,-4.22,-27319000.0,612506000.0,-32521000.0,-42812000.0,-3.59,14091000.0,614477000.0,-39914000.0,-49573000.0,-3.86,7352000.0,1
AGRO3 - 2023,658282000.0,45426000.0,-3293000.0,-0.16,249197000.0,459929000.0,225155000.0,242708000.0,11.05,544286000.0,484864000.0,-14982000.0,29985000.0,1.33,264612000.0,0
TGMA3 - 2023,-77529000.0,44077000.0,34723000.0,4.31,336038000.0,-66392000.0,47506000.0,39856000.0,4.95,366651000.0,-89666000.0,70563000.0,56312000.0,6.85,426977000.0,1
TASA4 - 2023,94178000.0,56090000.0,35400000.0,3.38,453230000.0,243914000.0,73298000.0,48863000.0,4.62,470285000.0,360285000.0,61263000.0,26001000.0,2.35,439319000.0,0
AZEV3 - 2023,-3243000.0,-11657000.0,-20089000.0,-26.12,154822000.0,42218000.0,31054000.0,42312000.0,35.49,147916000.0,41206000.0,-35109000.0,-35130000.0,-25.09,68298000.0,1
SHOW3 - 2023,-81533000.0,25785000.0,13944000.0,9.04,243936000.0,21122000.0,20837000.0,16280000.0,10.92,57450000.0,-155205000.0,15371000.0,3719000.0,2.28,59715000.0,0
PNVL3 - 2023,811213000.0,37563000.0,18216000.0,1.62,1027411000.0,805971000.0,40209000.0,22030000.0,1.96,1081375000.0,809634000.0,42602000.0,23645000.0,2.08,1130149000.0,1
AMAR3 - 2023,1217250000.0,-85120000.0,-148970000.0,-40.44,560300000.0,1051041000.0,-35967000.0,-63408000.0,-20.84,547482000.0,1113162000.0,-134322000.0,-196390000.0,-182.17,313826000.0,1
TAEE3 - 2023,8312991000.0,729623000.0,386772000.0,9.58,692915000.0,8102490000.0,470720000.0,220326000.0,3.3,678504000.0,8381729000.0,420281000.0,278942000.0,4.19,686465000.0,1
FRAS3 - 2023,-35401000.0,147152000.0,90448000.0,4.88,838774000.0,-120207000.0,156024000.0,98235000.0,5.09,919552000.0,-136677000.0,157933000.0,106110000.0,5.39,889065000.0,1
AGXY3 - 2023,1214271000.0,168630000.0,101290000.0,-3.02,2785290000.0,928932000.0,-194480000.0,-388662000.0,-36.85,1832007000.0,1050490000.0,147981000.0,-30951000.0,-3.05,2369051000.0,1
PRNR3 - 2023,67326000.0,24060000.0,8870000.0,3.19,241260000.0,196805000.0,24289000.0,8949000.0,2.79,253934000.0,179541000.0,20616000.0,2339000.0,-0.23,268957000.0,1
MELK3 - 2023,-182349000.0,17000000.0,27060000.0,1.64,298970000.0,-171834000.0,11830000.0,27994000.0,2.34,241671000.0,-164607000.0,4023000.0,19937000.0,1.25,258650000.0,1
DMVF3 - 2023,-30196000.0,5654000.0,-1610000.0,-0.19,405486000.0,-24429000.0,16041000.0,7948000.0,0.93,433694000.0,-25152000.0,13217000.0,5790000.0,0.67,446738000.0,1
SAPR3 - 2023,3966158000.0,547610000.0,319570000.0,3.51,1453960000.0,4460285000.0,545510000.0,422108000.0,4.64,1536029000.0,4401204000.0,656082000.0,396860000.0,4.18,1605776000.0,1
PFRM3 - 2023,526826000.0,31585000.0,-5612000.0,-0.42,2023366000.0,868781000.0,73537000.0,17747000.0,1.24,2133798000.0,532070000.0,82053000.0,34223000.0,2.55,2297546000.0,1
ETER3 - 2023,33343000.0,31417000.0,22006000.0,3.17,296376000.0,76248000.0,2719000.0,1149000.0,0.16,259585000.0,106120000.0,29920000.0,21072000.0,2.97,290990000.0,1
RCSL4 - 2023,-1143000.0,-230000.0,-280000.0,-27.47,18820000.0,-266000.0,130000.0,-745000.0,-168.59,15530000.0,-49000.0,-998000.0,-2037000.0,-1742.24,10148000.0,1
ITSA3 - 2023,5956000000.0,3323000000.0,2896000000.0,3.8,1712000000.0,5000000000.0,4141000000.0,3691000000.0,4.67,1954000000.0,2824000000.0,3622000000.0,4283000000.0,5.13,1769000000.0,1
CSUD3 - 2023,13748000.0,27435000.0,20201000.0,5.1,132842000.0,16414000.0,27385000.0,20486000.0,5.18,129356000.0,-6018000.0,30870000.0,23695000.0,5.74,132356000.0,1
LPSB3 - 2023,-54551000.0,9119000.0,74250000.0,2.38,42282000.0,-50408000.0,12456000.0,8350000.0,2.31,46611000.0,-56119000.0,13053000.0,19800000.0,8.1,44767000.0,1
CAMB3 - 2023,86446000.0,27867000.0,20257000.0,10.87,113975000.0,60683000.0,29370000.0,21772000.0,10.72,117431000.0,25987000.0,27016000.0,21996000.0,10.04,120163000.0,0
RNEW4 - 2023,965263000.0,-6102000.0,-44439000.0,-4.95,66064000.0,993960000.0,-1777000.0,-42732000.0,-5.0,53861000.0,1016170000.0,-7175000.0,-47923000.0,-5.94,57329000.0,1
INEP3 - 2023,876187000.0,-10193000.0,-70556000.0,-4.17,1284000.0,914519000.0,-14333000.0,-74277000.0,-4.18,1282000.0,899589000.0,-21586000.0,-51401000.0,-2.85,2467000.0,1
VIVR3 - 2023,-2614000.0,-26210000.0,-25980000.0,-78.65,18360000.0,2312000.0,-15965000.0,-15027000.0,-80.51,11638000.0,-5585000.0,-36441000.0,-37760000.0,-188.57,18369000.0,1
INEP4 - 2023,876187000.0,-10193000.0,-70556000.0,-4.17,1284000.0,914519000.0,-14333000.0,-74277000.0,-4.18,1282000.0,899589000.0,-21586000.0,-51401000.0,-2.85,2467000.0,0
TCSA3 - 2023,468664000.0,9540000.0,4670000.0,0.7,139730000.0,502371000.0,9438000.0,4789000.0,0.76,101811000.0,541995000.0,-2966000.0,-8101000.0,-1.35,85921000.0,1
RNEW3 - 2023,965263000.0,-6102000.0,-44439000.0,-4.95,66064000.0,993960000.0,-1777000.0,-42732000.0,-5.0,53861000.0,1016170000.0,-7175000.0,-47923000.0,-5.94,57329000.0,1
EUCA4 - 2023,545171000.0,57500000.0,76900000.0,3.68,678600000.0,550335000.0,94701000.0,55458000.0,2.59,651254000.0,515596000.0,89009000.0,60549000.0,2.74,684714000.0,1
DEXP3 - 2023,33432000.0,88710000.0,54270000.0,7.4,469145000.0,-57276000.0,69892000.0,48979000.0,6.27,442714000.0,-122926000.0,56510000.0,46414000.0,5.78,411454000.0,1
GOAU3 - 2023,5458961000.0,4288523000.0,3236531000.0,6.33,18872303000.0,5547638000.0,2852794000.0,2132522000.0,4.05,18265370000.0,4498205000.0,2380878000.0,1613051000.0,3.07,17063258000.0,1
SCAR3 - 2023,1748366000.0,70808000.0,14602000.0,0.98,211491000.0,1595700000.0,123432000.0,47479000.0,3.11,314642000.0,1550236000.0,36812000.0,-13719000.0,-0.87,88275000.0,0
PMAM3 - 2023,3380221000.0,-104390000.0,-178890000.0,-5.97,441920000.0,3466561000.0,-392912000.0,-613263000.0,-16.91,263546000.0,3611119000.0,-137225000.0,-382250000.0,-9.54,193673000.0,1
GGBR3 - 2023,6436107000.0,4292437000.0,3215399000.0,6.59,18872303000.0,6510604000.0,2884904000.0,2142723000.0,4.36,18265370000.0,5476112000.0,2384140000.0,1592065000.0,3.13,17063258000.0,1
PDTC3 - 2023,71918000.0,1569000.0,677000.0,0.5,79164000.0,76995000.0,6564000.0,807000.0,0.6,96903000.0,64633000.0,18752000.0,15540000.0,10.14,103532000.0,1
AALR3 - 2023,860225000.0,24951000.0,-33693000.0,-3.99,289650000.0,895625000.0,22822000.0,-50247000.0,-5.96,299416000.0,756769000.0,17789000.0,-49257000.0,-5.1,302330000.0,1
HAGA4 - 2023,-17699000.0,-480000.0,-131000.0,-0.23,7628000.0,-18469000.0,713000.0,1038000.0,-1.87,6960000.0,-20104000.0,-457000.0,-62000.0,-0.11,7596000.0,0
RAPT3 - 2023,3321200000.0,376755000.0,186840000.0,4.29,2658168000.0,3226436000.0,376434000.0,187126000.0,3.98,2776867000.0,2852118000.0,326714000.0,165804000.0,2.97,2896681000.0,1
EQPA3 - 2023,4105854000.0,576540000.0,424970000.0,12.86,2333960000.0,3751380000.0,739225000.0,519256000.0,13.62,2409930000.0,3564462000.0,888628000.0,677655000.0,15.22,2779177000.0,1
IGTI3 - 2023,1927269000.0,130230000.0,48810000.0,1.18,267130000.0,1934192000.0,148016000.0,78702000.0,1.89,299273000.0,1838927000.0,163832000.0,61213000.0,1.44,279547000.0,1
UCAS3 - 2023,-36379000.0,2111000.0,3524000.0,1.84,48710000.0,-14651000.0,513000.0,1213000.0,0.63,51017000.0,-19669000.0,4851000.0,3921000.0,1.99,58799000.0,1
TPIS3 - 2023,1591170000.0,-38400000.0,-81730000.0,-9.66,208400000.0,1571559000.0,-28504000.0,-65568000.0,-8.48,204327000.0,1820192000.0,54296000.0,96038000.0,11.36,307711000.0,1
JFEN3 - 2023,599250000.0,-11340000.0,40080000.0,-6.25,42380000.0,592436000.0,11733000.0,817000.0,-0.18,19771000.0,580074000.0,-41856000.0,-45314000.0,-6.29,15039000.0,1
WEST3 - 2023,-120251000.0,-16491000.0,-13479000.0,-4.56,44445000.0,-123264000.0,-14835000.0,-9080000.0,-3.17,45743000.0,-122427000.0,-19403000.0,-14644000.0,-5.38,51016000.0,1
BRKM3 - 2023,22425699000.0,496069000.0,242448000.0,2.36,19446048000.0,21953684000.0,-1640211000.0,-823348000.0,-10.65,17756177000.0,23848533000.0,-620118000.0,-2558092000.0,-48.15,16675501000.0,1
CEBR6 - 2023,-710372000.0,60475000.0,64842000.0,5.09,92560000.0,-624622000.0,51625000.0,51609000.0,3.91,82536000.0,-675715000.0,54749000.0,55322000.0,4.02,85877000.0,1
CEBR3 - 2023,-710372000.0,60475000.0,64842000.0,5.09,92560000.0,-624622000.0,51625000.0,51609000.0,3.91,82536000.0,-675715000.0,54749000.0,55322000.0,4.02,85877000.0,1
